task_name,region_size,block_size,count,total,average,cycle_write_start,cycle_read_start,cycle_read_end,ld_fence,st_fence
pointer-chasing-64,64,64,8388608,2635312341,314,4407986501038210,4407988435068188,4407992022199160,mfence,mfence
pointer-chasing-64,128,64,8388608,4245138710,506,4407997004223844,4407999123799654,4408005898082056,mfence,mfence
pointer-chasing-64,256,64,8388608,7370237839,878,4408007502054494,4408009755651618,4408022943210962,mfence,mfence
pointer-chasing-64,512,64,8388608,14253906984,1699,4408028481911100,4408032652211394,4408058344829226,mfence,mfence
pointer-chasing-64,1024,64,1048576,3601361058,3434,4408059939811992,4408060987666448,4408067484911646,mfence,mfence
pointer-chasing-64,2048,64,1048576,7246440867,6910,4408070437493508,4408072540503418,4408085619286790,mfence,mfence
pointer-chasing-64,4096,64,1048576,14479245517,13808,4408091416790264,4408095767616998,4408121751808172,mfence,mfence
pointer-chasing-64,8192,64,1048576,31367915446,29914,4408122874517520,4408136659946372,4408188592463698,mfence,mfence
pointer-chasing-64,16384,64,524288,33864825581,64592,4408196252240732,4408215850957380,4408267201386050,mfence,mfence
pointer-chasing-64,20480,64,524288,48059011141,91665,4408269631969442,4408297518364952,4408370318912468,mfence,mfence
pointer-chasing-64,24576,64,524288,61732241157,117744,4408374455680744,4408410088172314,4408503788983758,mfence,mfence
pointer-chasing-64,28672,64,524288,79945133578,152483,4408510726326498,4408555141365472,4408678216895514,mfence,mfence
pointer-chasing-64,32768,64,262144,46790703470,178492,4408678444120568,4408704610187058,4408776473871472,mfence,mfence
pointer-chasing-64,36864,64,262144,55764316270,212723,4408783288299852,4408814654244984,4408900118388664,mfence,mfence
pointer-chasing-64,40960,64,262144,62002796347,236521,4408909100698806,4408944233722612,4409039000833540,mfence,mfence
pointer-chasing-64,45056,64,262144,69729682444,265997,4409045396841778,4409084688630074,4409191485335892,mfence,mfence
pointer-chasing-64,49152,64,262144,79393845424,302863,4409192177920682,4409236657491118,4409358513502856,mfence,mfence
pointer-chasing-64,53248,64,262144,85868785561,327563,4409359944704168,4409408227973724,4409539845732628,mfence,mfence
pointer-chasing-64,57344,64,262144,94808707226,361666,4409548686415642,4409602156666454,4409747317196514,mfence,mfence
pointer-chasing-64,61440,64,262144,102179211811,389782,4409747914294876,4409805567577502,4409961986791394,mfence,mfence
pointer-chasing-64,65536,64,131072,54876920022,418677,4409968132649482,4409999337382040,4410083103582020,mfence,mfence
pointer-chasing-64,4194304,64,512,15695047728,30654390,4410083718257868,4410092870862436,4410116600465268,mfence,mfence
pointer-chasing-64,8388608,64,256,15708458239,61361164,4410126061980054,4410135226135422,4410158972283288,mfence,mfence
pointer-chasing-64,12582912,64,170,15656204273,92095319,4410168234445492,4410177371241596,4410201035273176,mfence,mfence
pointer-chasing-64,16777216,64,128,15750365371,123049729,4410210374443196,4410219553088938,4410243372544664,mfence,mfence
pointer-chasing-64,20971520,64,102,16102438134,157867040,4410252757870902,4410261906192230,4410286493589146,mfence,mfence
pointer-chasing-64,25165824,64,85,16396164900,192896057,4410294834400400,4410303996435020,4410329185496614,mfence,mfence
pointer-chasing-64,29360128,64,73,16638128258,227919565,4410337105788446,4410346293782250,4410371963814402,mfence,mfence
pointer-chasing-64,33554432,64,64,16832293514,263004586,4410379487604558,4410388703203210,4410414752419992,mfence,mfence
pointer-chasing-64,37748736,64,56,16693727601,298102278,4410422132421378,4410431207397540,4410457106931982,mfence,mfence
pointer-chasing-64,41943040,64,51,16980157499,332944264,4410464139091012,4410473314972034,4410499713691922,mfence,mfence
pointer-chasing-64,46137344,64,46,16922869828,367888474,4410506624341032,4410515714314312,4410542078920248,mfence,mfence
pointer-chasing-64,50331648,64,42,16910432852,402629353,4410548734576092,4410557769745782,4410584163099160,mfence,mfence
pointer-chasing-64,54525952,64,39,17078016015,437897846,4410590924306098,4410600017770944,4410626703927372,mfence,mfence
pointer-chasing-64,58720256,64,36,17023115798,472864327,4410633779893862,4410642818049744,4410669444495486,mfence,mfence
pointer-chasing-64,62914560,64,34,17267280688,507861196,4410675574922406,4410684719818932,4410711751066236,mfence,mfence
pointer-chasing-64,67108864,64,32,17365711203,542678475,4410718302854834,4410727477600280,4410754685217442,mfence,mfence
